Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,147.116,672.0,545.660788083099,157.0666889551352,79.5730569563239,25.39400997408966,0.7940049963316897,51.305275866232044,110.51677671597992,124.65212344096808,114.35693124936154,19.212422106446013,167.63439482164583,6.313704993545632,4.504495026885466,0.5161086562839552,9.57268771069568,8.247168714419711,2.924570993415615,0.287846,0.170174,0.249456,0.682179,0.414016,0.619367,0.426851,1.03338,0.331521,3.46607,0.319302,,-0.714658,136.03,59.6917,179.714,-0.714658,0,59.98517483472824,-7.189310550689697,7.67678,1.9700000286102295,,,,,,,1211.3,8.240136054,1211.3,8.240136054,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450
Cal Raleigh,SEA,150.848,637.0,550.4863299156136,129.0463275004886,60.59195715695295,23.47691760133595,0.4831180741920057,44.49426280691553,87.82245287725604,113.97776496066683,74.87328649261879,7.027954087201904,174.4483679633664,6.356235058399949,4.486601744292281,0.4904762451796806,6.6170604591597595,7.800096462000709,2.264434106014456,0.234422,0.11754,0.273859,0.429201,0.330517,0.521307,0.358853,0.851824,0.286884,3.43636,0.25162,,-0.254087,97.7668,23.4023,138.276,-0.254087,14.95,28.138315558433533,21.74367094039917,7.31982,19.170000076293945,,,,,,,897.1,5.941059602,897.1,5.941059602,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728
Juan Soto,NYM,154.969,686.0,553.6207815992099,147.56093559459327,84.24388325465296,25.01515329833927,0.6358543280568318,37.66618162180882,107.89478596343967,97.99339906581416,123.20636467292489,8.890591166763762,122.41511543783906,4.19715438719552,3.9056706518022626,1.0693743478969078,14.02152031920217,17.39238299564604,5.741711147862863,0.266538,0.179601,0.178448,1.00647,0.401449,0.518128,0.392703,0.919577,0.25159,4.04427,0.276503,,-0.20998,124.585,44.067,157.9,-0.20998,0,46.55375334620476,-7.369714736938477,6.32864,4.46999979019165,,,,,,,1092.7,7.049677419,1092.7,7.049677419,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742
Shohei Ohtani,LAD,149.72,679.0,576.481732776618,163.69813152400835,82.68733611691022,27.127295407098117,5.725035177453027,48.158272442588725,125.5633611691023,119.25329853862212,91.71805636743214,13.744535490605427,160.44083507306885,4.906468580375782,3.7347126304801668,0.7332886116910229,8.7203,23.779580375782878,10.851140918580375,0.28396,0.135078,0.23629,0.571664,0.384614,0.601493,0.409556,0.986107,0.317533,6.24373,0.31091,,-0.771189,131.778,52.5413,166.654,-0.771189,0,52.20500320196152,-14.133561134338379,6.17788,1.1100000143051147,,,,,,,1202.8,8.018666666,1202.8,8.018666666,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271
Bobby Witt Jr.,KCR,153.223,679.0,616.8448040839926,175.74735088723182,104.41177862794383,37.27450455524565,6.21489915845544,27.846056664200052,103.43230794119673,93.17848054621004,48.78384453145831,5.122275705456408,117.18761590336467,6.631433561719758,5.891460240090356,0.8482907777621326,7.13181797891495,35.74244152778235,10.124584051097843,0.284913,0.0718466,0.172589,0.416287,0.340872,0.50092,0.357132,0.841792,0.216007,7.11915,0.30961,,1.94767,102.77,23.8902,127.542,1.94767,0,23.618281602859497,7.093657493591309,5.49306,3.2799999713897705,,,,,,,961.6,6.28496732,961.6,6.28496732,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951
Gunnar Henderson,BAL,152.732,672.0,593.5559555436066,159.93088206478896,94.79571476092613,33.909944361155794,3.9177314297952623,27.30715467234144,98.70224879358035,84.50176485867006,66.59664708750475,3.2408452000674415,144.49848029856324,5.886207308237375,5.450345817517351,0.5112137470323672,12.268754300504442,20.853595563474308,5.269595126019021,0.269445,0.0991022,0.215028,0.460881,0.346117,0.477794,0.35317,0.823911,0.208349,5.86637,0.310448,,0.910931,99.2317,21.4423,129.274,0.910931,0,23.625831723213196,7.070925712585449,5.45901,14.75,,,,,,,906.5,5.924836601,906.5,5.924836601,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002
Julio Rodríguez,SEA,152.067,686.0,622.309850227285,172.33860043102666,108.21776204188322,29.293658957688148,3.989211897302159,30.83782259086875,98.62230955442465,95.02057246862378,49.550828851018096,3.7518465629546447,153.94736826218977,9.593464693844286,4.002608798015103,0.5429037071916256,11.715248021442669,26.196945687016676,7.290388376768024,0.276934,0.0722316,0.224412,0.32187,0.337706,0.485488,0.351932,0.823195,0.208555,6.05819,0.32048,,1.13371,99.2065,20.9147,133.508,1.13371,0,27.302048563957214,2.155144453048706,5.34715,10.890000343322754,,,,,,,913.5,6.009868421,913.5,6.009868421,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594
Francisco Lindor,NYM,153.163,686.0,605.0509085836069,156.83103788090162,96.07406603779185,29.51955547376357,1.7469890886855963,29.490335650552982,95.90903003282892,87.4982006423309,58.28682776389292,1.1266328977910227,128.2088465945182,10.512925870738325,4.979709466960326,0.7243329464704451,10.298816852578526,24.20460198635789,6.826229214777173,0.259203,0.0849662,0.186893,0.454623,0.332382,0.459987,0.341894,0.792369,0.200784,5.50238,0.281521,,0.947297,95.391,15.7768,123.095,0.947297,0,19.390580117702484,6.608506679534912,4.95361,16.829999923706055,,,,,,,863.5,5.643790849,863.5,5.643790849,,,,,,,,,,,,,,,,,,,Francisco Lindor,12916,596019
José Ramírez,CLE,153.117,679.0,603.2796132224927,167.0347240048423,98.4345432534939,34.99913664650049,3.2800616529179187,30.320745242366293,98.4346463880868,93.88558576347698,63.9351968442941,15.673260951784956,77.92117585587282,4.7187376568853345,6.152958246438515,0.7041638093270733,7.4502573504282585,33.99790601841233,10.860175769294445,0.276877,0.0941608,0.114759,0.820511,0.347579,0.496546,0.353901,0.844124,0.219668,5.91623,0.272778,,1.31146,99.6238,21.8331,129.517,1.31146,0,24.21562969684601,0.21923960745334625,4.81837,5.309999942779541,,,,,,,943.4,6.166013071,943.4,6.166013071,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070
Corey Seager,TEX,125.821,560.0,483.5730767726544,133.5763359276207,79.06699518948727,24.994641949235405,0.8175525049865072,28.697146283911508,74.39748653969,87.64748979884496,62.299503304783144,8.948565319983835,103.23063084203528,4.925693874092326,4.555526874991853,0.4893060607245754,11.039931166647111,1.7758066408541595,0.6781952103458616,0.276228,0.111249,0.18434,0.603498,0.361574,0.509329,0.368358,0.870903,0.233101,2.59976,0.294438,,-0.795134,87.5541,24.1094,139.697,-0.795134,0,24.327607214450836,3.3979437351226807,4.7275,108.41999816894531,,,,,,,787.3,6.248412698,787.3,6.248412698,,,,,,,,,,,,,,,,,,,Corey Seager,13624,608369
