Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Shohei Ohtani,679,126,48,119,160,347,24,0.385,0.83,0.66,0.71,-0.86,0.87,0.37,0.18,2.76
José Ramírez,679,98,30,94,78,300,34,0.348,0.65,0.41,0.56,-0.42,0.75,0.53,0.08,2.56
Aaron Judge,672,111,51,125,168,338,8,0.414,0.73,0.7,0.74,-0.9,0.85,0.13,0.26,2.51
Bobby Witt Jr.,679,103,28,93,117,309,36,0.341,0.69,0.38,0.55,-0.63,0.78,0.56,0.06,2.38
Juan Soto,686,108,38,98,122,287,17,0.401,0.72,0.51,0.58,-0.66,0.72,0.27,0.23,2.37
Kyle Tucker,651,101,31,93,92,279,19,0.37,0.67,0.42,0.55,-0.49,0.7,0.3,0.14,2.29
Corbin Carroll,665,107,27,82,142,282,37,0.345,0.71,0.37,0.49,-0.76,0.71,0.57,0.07,2.16
Ronald Acuña Jr.,651,103,29,85,142,267,29,0.378,0.68,0.39,0.51,-0.76,0.67,0.46,0.16,2.1
Vladimir Guerrero Jr.,679,95,28,93,91,289,6,0.376,0.63,0.38,0.55,-0.49,0.73,0.09,0.15,2.04
Julio Rodríguez,686,99,31,95,154,302,26,0.338,0.65,0.42,0.57,-0.83,0.76,0.41,0.05,2.03
Yordan Alvarez,600,88,32,94,100,279,4,0.386,0.59,0.44,0.56,-0.54,0.7,0.06,0.18,1.99
Fernando Tatis Jr.,672,99,28,86,135,275,25,0.35,0.66,0.39,0.51,-0.72,0.69,0.38,0.08,1.99
Francisco Lindor,686,96,29,87,128,278,24,0.332,0.64,0.4,0.52,-0.69,0.7,0.38,0.03,1.98
Junior Caminero,665,88,38,112,127,310,5,0.322,0.58,0.52,0.66,-0.68,0.78,0.08,0.01,1.96
Ketel Marte,637,88,30,97,106,276,5,0.358,0.59,0.4,0.57,-0.57,0.69,0.08,0.1,1.87
Mookie Betts,651,90,23,83,75,258,9,0.346,0.59,0.32,0.5,-0.4,0.65,0.14,0.07,1.87
Gunnar Henderson,672,99,27,85,144,284,21,0.346,0.65,0.37,0.5,-0.78,0.71,0.32,0.07,1.86
Jackson Chourio,651,88,24,90,130,278,26,0.323,0.58,0.33,0.54,-0.7,0.7,0.4,0.01,1.86
Kyle Schwarber,686,101,45,114,191,292,6,0.352,0.67,0.62,0.68,-1.03,0.73,0.09,0.09,1.85
Bryce Harper,665,93,29,94,140,280,10,0.367,0.61,0.4,0.56,-0.75,0.7,0.16,0.13,1.82
Cal Raleigh,637,88,44,114,174,287,8,0.331,0.58,0.61,0.68,-0.94,0.72,0.12,0.03,1.8
Trea Turner,644,88,19,77,117,262,25,0.333,0.58,0.26,0.46,-0.63,0.66,0.39,0.04,1.75
Elly De La Cruz,672,97,24,77,187,269,41,0.327,0.64,0.33,0.46,-1.0,0.68,0.63,0.02,1.75
Jazz Chisholm Jr.,616,93,31,76,166,251,33,0.315,0.62,0.43,0.45,-0.89,0.63,0.52,-0.01,1.74
Josh Naylor,623,76,24,82,91,244,15,0.328,0.51,0.32,0.49,-0.49,0.61,0.24,0.02,1.7
Corey Seager,600,79,30,92,112,261,2,0.358,0.53,0.41,0.55,-0.6,0.65,0.04,0.11,1.68
Zach Neto,665,90,29,80,166,267,29,0.318,0.59,0.39,0.48,-0.89,0.67,0.45,-0.01,1.68
Maikel Garcia,665,86,13,68,97,240,27,0.327,0.57,0.18,0.41,-0.52,0.6,0.42,0.02,1.68
Pete Alonso,679,91,37,100,156,288,3,0.332,0.6,0.51,0.6,-0.84,0.72,0.04,0.03,1.67
Brent Rooker,665,92,35,96,168,295,7,0.341,0.61,0.48,0.57,-0.9,0.74,0.11,0.06,1.67
Nico Hoerner,665,81,7,60,64,223,28,0.328,0.54,0.09,0.36,-0.35,0.56,0.44,0.02,1.66
Vinnie Pasquantino,644,78,27,95,94,270,1,0.327,0.52,0.37,0.56,-0.5,0.68,0.01,0.02,1.66
Pete Crow-Armstrong,644,91,24,73,159,258,35,0.298,0.6,0.33,0.43,-0.85,0.65,0.54,-0.06,1.64
Freddie Freeman,651,88,22,84,118,261,9,0.353,0.59,0.3,0.5,-0.63,0.66,0.14,0.09,1.64
Cody Bellinger,637,79,25,78,97,255,12,0.318,0.53,0.35,0.47,-0.52,0.64,0.19,-0.01,1.64
Nick Kurtz,616,95,40,101,191,286,3,0.357,0.63,0.55,0.6,-1.02,0.72,0.05,0.1,1.62
Rafael Devers,686,92,35,99,167,286,2,0.354,0.61,0.48,0.59,-0.9,0.72,0.03,0.09,1.62
Luis Arraez,630,72,6,66,26,233,8,0.351,0.48,0.08,0.39,-0.14,0.58,0.13,0.09,1.62
Geraldo Perdomo,686,88,14,63,94,229,19,0.349,0.58,0.19,0.37,-0.5,0.58,0.3,0.08,1.61
CJ Abrams,630,80,19,69,122,237,32,0.309,0.53,0.26,0.41,-0.66,0.59,0.49,-0.03,1.6
Chandler Simpson,600,75,6,50,81,200,40,0.325,0.5,0.08,0.3,-0.44,0.5,0.62,0.01,1.57
Byron Buxton,600,86,32,87,163,266,16,0.318,0.57,0.44,0.52,-0.87,0.67,0.25,-0.01,1.56
Shea Langeliers,600,82,33,88,139,270,7,0.316,0.54,0.45,0.52,-0.74,0.68,0.11,-0.01,1.55
Wyatt Langford,644,88,24,75,152,246,21,0.342,0.59,0.33,0.45,-0.81,0.62,0.33,0.06,1.55
Steven Kwan,665,77,8,60,57,220,17,0.342,0.51,0.12,0.36,-0.31,0.55,0.26,0.06,1.55
Jeremy Peña,651,84,19,72,118,251,18,0.327,0.56,0.25,0.43,-0.63,0.63,0.28,0.02,1.54
Jose Altuve,630,81,23,76,110,246,13,0.328,0.54,0.31,0.45,-0.59,0.62,0.2,0.02,1.54
Jacob Wilson,609,74,11,66,51,239,6,0.347,0.49,0.16,0.4,-0.27,0.6,0.09,0.07,1.53
Alex Bregman,679,80,23,84,95,250,2,0.332,0.53,0.31,0.5,-0.51,0.63,0.04,0.03,1.53
Manny Machado,651,81,26,86,127,262,10,0.32,0.54,0.36,0.51,-0.68,0.66,0.15,-0.0,1.53
Luke Keaschall,600,78,15,64,105,224,21,0.344,0.52,0.2,0.38,-0.56,0.56,0.33,0.07,1.49
George Springer,600,82,23,72,115,230,13,0.332,0.54,0.32,0.43,-0.62,0.58,0.21,0.03,1.49
Willy Adames,679,90,32,89,178,268,12,0.32,0.6,0.44,0.53,-0.95,0.67,0.18,0.0,1.47
Jackson Merrill,630,79,23,82,123,263,9,0.318,0.52,0.32,0.49,-0.66,0.66,0.14,-0.0,1.47
Yandy Díaz,651,78,18,81,96,248,2,0.352,0.51,0.25,0.48,-0.51,0.62,0.03,0.09,1.47
Bo Bichette,658,80,17,78,106,263,7,0.331,0.53,0.24,0.46,-0.57,0.66,0.11,0.03,1.45
