Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Shohei Ohtani,679,129,48,119,164,344,26,0.385,0.86,0.66,0.71,-0.88,0.86,0.4,0.16,2.77
Juan Soto,686,114,38,102,120,289,23,0.411,0.76,0.52,0.61,-0.65,0.73,0.36,0.23,2.55
José Ramírez,679,95,29,96,80,292,32,0.347,0.63,0.4,0.57,-0.43,0.73,0.5,0.06,2.46
Aaron Judge,672,116,45,117,165,317,9,0.419,0.77,0.61,0.7,-0.89,0.8,0.14,0.26,2.39
Kyle Tucker,651,98,33,102,96,280,22,0.369,0.65,0.45,0.61,-0.51,0.7,0.34,0.12,2.36
Bobby Witt Jr.,679,103,28,95,117,312,33,0.344,0.68,0.38,0.57,-0.63,0.78,0.51,0.05,2.35
Ronald Acuña Jr.,651,115,31,84,133,279,26,0.393,0.76,0.42,0.5,-0.71,0.7,0.4,0.18,2.26
Vladimir Guerrero Jr.,679,98,33,105,92,305,5,0.38,0.65,0.45,0.62,-0.49,0.77,0.08,0.15,2.22
Corbin Carroll,665,106,28,93,139,284,35,0.346,0.7,0.38,0.55,-0.75,0.71,0.54,0.05,2.2
Fernando Tatis Jr.,672,106,30,84,131,282,26,0.358,0.7,0.41,0.5,-0.7,0.71,0.4,0.09,2.11
Junior Caminero,665,90,40,118,124,314,6,0.326,0.6,0.55,0.7,-0.67,0.79,0.09,-0.0,2.06
Gunnar Henderson,672,99,29,94,140,292,22,0.354,0.66,0.4,0.56,-0.75,0.73,0.34,0.08,2.01
Julio Rodríguez,686,95,31,101,151,295,26,0.33,0.63,0.42,0.6,-0.81,0.74,0.4,0.01,2.0
Francisco Lindor,686,102,28,85,125,276,24,0.337,0.68,0.38,0.51,-0.67,0.69,0.37,0.03,1.99
Mookie Betts,651,97,24,87,77,264,9,0.358,0.64,0.33,0.52,-0.41,0.66,0.14,0.09,1.97
Elly De La Cruz,672,96,25,89,173,275,41,0.338,0.64,0.34,0.53,-0.93,0.69,0.64,0.03,1.94
Yordan Alvarez,625,92,32,93,111,284,4,0.384,0.61,0.44,0.55,-0.6,0.71,0.06,0.16,1.94
Geraldo Perdomo,686,96,15,72,88,238,23,0.363,0.64,0.2,0.43,-0.47,0.6,0.36,0.1,1.85
Jackson Chourio,651,93,25,89,131,284,24,0.318,0.62,0.34,0.53,-0.7,0.71,0.37,-0.03,1.85
Ketel Marte,637,94,27,86,104,270,6,0.359,0.62,0.37,0.51,-0.56,0.68,0.09,0.09,1.81
Pete Alonso,679,90,38,112,152,306,2,0.343,0.6,0.52,0.67,-0.82,0.77,0.03,0.04,1.81
Pete Crow-Armstrong,644,88,26,92,155,267,34,0.303,0.58,0.35,0.55,-0.83,0.67,0.53,-0.07,1.79
Cody Bellinger,637,85,25,92,93,259,12,0.326,0.56,0.34,0.55,-0.5,0.65,0.19,-0.0,1.79
Josh Naylor,625,74,23,92,93,252,18,0.332,0.49,0.31,0.55,-0.5,0.63,0.28,0.01,1.79
Trea Turner,644,92,19,73,118,262,28,0.334,0.61,0.26,0.43,-0.63,0.66,0.44,0.02,1.78
Zach Neto,665,94,28,85,159,271,28,0.325,0.62,0.38,0.51,-0.85,0.68,0.44,-0.01,1.77
Bryce Harper,665,90,29,95,143,281,11,0.365,0.6,0.4,0.57,-0.77,0.71,0.17,0.11,1.77
Kyle Schwarber,686,103,44,105,195,284,7,0.347,0.68,0.6,0.62,-1.05,0.71,0.11,0.06,1.74
Nico Hoerner,665,79,9,65,62,233,27,0.336,0.52,0.12,0.39,-0.33,0.58,0.42,0.03,1.73
Freddie Freeman,651,89,24,91,121,274,8,0.367,0.59,0.33,0.54,-0.65,0.69,0.12,0.11,1.73
Steven Kwan,665,86,12,60,61,236,19,0.35,0.57,0.16,0.36,-0.33,0.59,0.3,0.06,1.71
Jazz Chisholm Jr.,625,81,29,89,161,244,32,0.319,0.54,0.4,0.53,-0.87,0.61,0.5,-0.02,1.69
Wyatt Langford,644,90,25,80,145,251,22,0.349,0.6,0.34,0.48,-0.78,0.63,0.34,0.06,1.67
Maikel Garcia,665,87,13,68,100,244,27,0.332,0.58,0.18,0.4,-0.54,0.61,0.42,0.01,1.67
Brent Rooker,665,89,34,107,167,295,6,0.342,0.59,0.46,0.64,-0.9,0.74,0.09,0.04,1.67
Chandler Simpson,625,76,7,59,88,207,43,0.327,0.51,0.1,0.35,-0.47,0.52,0.67,0.0,1.67
CJ Abrams,630,86,20,70,118,243,30,0.314,0.57,0.27,0.42,-0.64,0.61,0.47,-0.04,1.66
George Springer,625,90,26,79,122,249,13,0.341,0.59,0.35,0.47,-0.66,0.63,0.21,0.04,1.64
Cal Raleigh,637,88,40,102,171,269,8,0.33,0.58,0.55,0.61,-0.92,0.68,0.12,0.01,1.63
Nick Kurtz,625,98,36,100,174,280,3,0.352,0.65,0.5,0.6,-0.94,0.7,0.05,0.07,1.63
